IDCandidato,Nota_LP,Nota_ML,Nota_ESP,Media_Final
19108717,44.46,8.22,0.00,17.56
19109448,0.00,15.07,37.31,17.46
19135620,42.96,9.21,0.00,17.39
19133812,17.68,10.36,23.96,17.33
19123458,37.56,3.23,11.06,17.29
19126894,35.52,4.99,11.06,17.19
19126299,31.12,0.00,20.40,17.17
19119833,33.74,0.00,17.58,17.10
19144178,9.23,10.05,31.97,17.08
19120978,21.03,10.36,19.30,16.90
19115443,26.03,19.16,5.44,16.88
19127713,24.25,20.41,5.44,16.70
19117762,27.18,4.99,17.86,16.67
19143665,14.91,34.07,0.00,16.33
19139021,32.04,0.00,16.50,16.18
19118962,25.27,12.44,10.79,16.17
19100427,16.22,18.42,13.86,16.17
19132782,18.71,25.43,4.27,16.14
19123049,25.57,3.23,19.54,16.11
19124699,21.46,9.21,17.58,16.08
19118977,33.33,3.23,11.55,16.04
19127574,14.59,3.23,30.29,16.04
19123661,14.46,18.42,15.07,15.98
19122193,20.30,20.05,7.08,15.81
19124618,9.23,23.99,14.10,15.77
19142540,18.55,0.00,28.43,15.66
19132485,8.35,19.41,19.21,15.65
19134331,12.27,7.13,27.29,15.56
19117980,20.34,12.19,13.86,15.47
19114067,23.70,22.49,0.00,15.40
19107911,36.72,3.23,5.44,15.13
19140643,8.02,30.08,6.79,14.96
19101309,6.44,10.20,28.24,14.96
19114877,15.67,18.17,10.79,14.88
19133549,22.66,12.19,9.71,14.86
19134961,22.23,8.96,12.52,14.57
19136999,9.23,12.44,21.85,14.51
19121189,19.13,9.21,15.07,14.47
19103058,26.58,0.00,16.79,14.46
19117635,26.03,17.18,0.00,14.40
19134627,15.79,3.23,23.96,14.33
19114956,6.56,36.23,0.00,14.26
19101713,16.37,15.35,11.06,14.26
19107446,30.26,0.00,12.52,14.26
19101910,6.56,3.23,32.82,14.21
19132248,0.00,3.23,38.48,13.90
19112209,24.02,4.99,12.42,13.81
19119677,19.13,7.13,15.07,13.77
19123772,24.25,10.05,6.79,13.69
19110694,20.91,4.99,15.07,13.66
19102129,33.33,3.23,4.27,13.61
19142783,9.66,15.35,15.07,13.36
19125869,11.99,10.05,17.86,13.30
